CNo,,ON,OFF,MA,IP,SV,UP,DN,LN,LP,STEP,PL,V,HP,PP,C,S,L,AL,JS,JM,OC,LD,粗糙度Ra,余量Gap
C000,=,0,4043,0,0,70,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C001,=,0,0,0,0,70,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C002,=,0,0,0,0,60,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C003,=,9,6,0,3,60,10,20,0,0,0,+,1,0,11,0,12,2,15,16.92122034,0,0,0,0.31,0.027
C004,=,0,0,0,0,60,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C005,=,15,6,0,5,70,10,20,0,0,0,+,1,0,11,0,12,2,15,20,0,0,0,0.45,0.036
C006,=,0,0,0,0,70,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C007,=,0,0,0,0,70,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C008,=,24,8,0,8,70,10,20,0,0,0,+,1,0,11,0,12,2,15,24.55240678,0,0,0,0.65,0.046
C009,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C010,=,30,10,0,10,70,10,20,0,0,0,+,1,0,11,0,12,2,15,27.54350282,0,0,0,0.78,0.052
C011,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C012,=,0,0,0,0,80,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C013,=,39,13,0,13,0,10,20,0,0,0,+,1,0,11,0,12,2,15,31.96438418,0,0,0,0.99,0.06
C014,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,12,2,15,0,0,0,0,,
C015,=,45,15,0,15,70,10,20,0,0,0,+,1,0,11,0,23,2,15,34.86779661,0,0,0,1.13,0.065
C016,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C017,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C018,=,54,18,0,18,0,10,20,0,0,0,+,1,0,11,0,23,2,15,39.15715254,0,0,0,1.35,0.072
C019,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C020,=,60,20,0,20,70,10,20,0,0,0,+,1,0,11,0,23,2,15,41.97288136,0,0,0,1.51,0.077
C021,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C022,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C023,=,69,23,0,23,0,10,20,0,0,0,+,1,0,11,0,23,2,15,46.13071186,0,0,0,1.74,0.084
C024,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,23,2,15,0,0,0,0,,
C025,=,75,25,0,25,70,10,20,0,0,0,+,1,0,11,0,34,2,15,48.85875706,0,0,0,1.91,0.089
C026,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C027,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C028,=,84,28,0,28,0,10,20,0,0,0,+,1,0,11,0,34,2,15,52.88506215,0,0,0,2.16,0.095
C029,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C030,=,90,30,0,30,60,10,20,0,0,0,+,1,0,11,0,34,2,15,55.52542373,0,0,0,2.34,0.1
C031,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C032,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C033,=,99,33,0,33,0,10,20,0,0,0,+,1,0,11,0,34,2,15,59.42020339,0,0,0,2.61,
C034,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C035,=,105,35,0,35,60,10,20,0,0,0,+,1,0,11,0,34,2,15,61.97288136,0,0,0,2.8,
C036,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C037,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C038,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C039,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,34,2,15,0,0,0,0,,
C040,=,120,40,0,40,60,10,20,0,0,0,+,1,0,11,0,45,2,15,68.20112994,0,0,0,3.3,0.12
C041,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C042,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C043,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C044,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
