材料,形状,Q,R
铜-钢,通用,1,C0
铜-钢,深腔,2,C0
铜-钢,大面积,3,C0
铜-钢,骨位,4,C0
铜-钢,插件,5,C0
铜-钢,多脚,6,C0
铜-钢,螺牙,7,C0
铜-钢,蜗杆,8,C0
铜-钢,清角,9,C0
铜-钢,进胶口,10,C0
石墨-钢,通用,11,C4
石墨-钢,深腔,12,C4
石墨-钢,大面积,13,C4
石墨-钢,骨位,14,C4
石墨-钢,插件,15,C4
石墨-钢,多脚,16,C4
石墨-钢,螺牙,17,C4
石墨-钢,蜗杆,18,C4
石墨-钢,清角,19,C4
石墨-钢,进胶口,20,C4
铜-钨钢,通用,21,
铜-钨钢,深腔,22,
铜-钨钢,大面积,23,
铜-钨钢,骨位,24,
铜-钨钢,插件,25,
铜-钨钢,多脚,26,
铜-钨钢,螺牙,27,
铜-钨钢,蜗杆,28,
铜-钨钢,清角,29,
铜-钨钢,进胶口,30,
铜-铜,通用,31,
铜-铜,深腔,32,
铜-铜,大面积,33,
铜-铜,骨位,34,
铜-铜,插件,35,
铜-铜,多脚,36,
铜-铜,螺牙,37,
铜-铜,蜗杆,38,
铜-铜,清角,39,
铜-铜,进胶口,40,
铜-铝,通用,41,
铜-铝,深腔,42,
铜-铝,大面积,43,
铜-铝,骨位,44,
铜-铝,插件,45,
铜-铝,多脚,46,
铜-铝,螺牙,47,
铜-铝,蜗杆,48,
铜-铝,清角,49,
铜-铝,进胶口,50,
石墨-铝,通用,51,
石墨-铝,深腔,52,
石墨-铝,大面积,53,
石墨-铝,骨位,54,
石墨-铝,插件,55,
石墨-铝,多脚,56,
石墨-铝,螺牙,57,
石墨-铝,蜗杆,58,
石墨-铝,清角,59,
石墨-铝,进胶口,60,
钢-铍铜,通用,61,
钢-铍铜,深腔,62,
钢-铍铜,大面积,63,
钢-铍铜,骨位,64,
钢-铍铜,插件,65,
钢-铍铜,多脚,66,
钢-铍铜,螺牙,67,
钢-铍铜,蜗杆,68,
钢-铍铜,清角,69,
钢-铍铜,进胶口,70,
石墨-铍铜,通用,71,
石墨-铍铜,深腔,72,
石墨-铍铜,大面积,73,
石墨-铍铜,骨位,74,
石墨-铍铜,插件,75,
石墨-铍铜,多脚,76,
石墨-铍铜,螺牙,77,
石墨-铍铜,蜗杆,78,
石墨-铍铜,清角,79,
石墨-铍铜,进胶口,80,
