粗糙度,U,V
VDI0-Ra0.1,0,0.1
VDI1-Ra0.112,1,0.112
VDI2-Ra0.126,2,0.126
VDI3-Ra0.14,3,0.14
VDI4-Ra0.16,4,0.16
VDI5-Ra0.18,5,0.18
VDI6-Ra0.2,6,0.2
VDI7-Ra0.22,7,0.22
VDI8-Ra0.25,8,0.25
VDI9-Ra0.28,9,0.28
VDI10-Ra0.32,10,0.32
VDI11-Ra0.35,11,0.35
VDI12-Ra0.4,12,0.4
VDI13-Ra0.45,13,0.45
VDI14-Ra0.5,14,0.5
VDI15-Ra0.56,15,0.56
VDI16-Ra0.63,16,0.63
VDI17-Ra0.7,17,0.7
VDI18-Ra0.8,18,0.8
VDI19-Ra0.9,19,0.9
VDI20-Ra1,20,1
VDI21-Ra1.12,21,1.12
VDI22-Ra1.26,22,1.26
VDI23-Ra1.4,23,1.4
VDI24-Ra1.6,24,1.6
VDI25-Ra1.8,25,1.8
VDI26-Ra2,26,2
VDI27-Ra2.2,27,2.2
VDI28-Ra2.5,28,2.5
VDI29-Ra2.8,29,2.8
VDI30-Ra3.2,30,3.2
VDI31-Ra3.5,31,3.5
VDI32-Ra4,32,4
VDI33-Ra4.5,33,4.5
VDI34-Ra5,34,5
VDI35-Ra5.6,35,5.6
VDI36-Ra6.3,36,6.3
VDI37-Ra7,37,7
VDI38-Ra8,38,8
VDI39-Ra9,39,9
VDI40-Ra10,40,10
VDI41-Ra11.2,41,11.2
VDI42-Ra12.6,42,12.6
VDI43-Ra14,43,14
VDI44-Ra16,44,16
VDI45-Ra18,45,18
